vo_adv_1224001_002.m4a|はい、これ。キミのサンダルかな？
vo_adv_7023001_019.m4a|確かにレイさんはとっても強いから比べちゃう気持ちも分かるなあ。
vo_adv_7023001_020.m4a|でもね、あたしはマツリちゃんの戦い方、まっすぐで好きだよ。なんだかとっても合わせやすいんだもん。
vo_adv_7023001_023.m4a|うんうん！みんなを守るために振るっている剣だって伝わってくるもん。
vo_adv_7023001_024.m4a|そうじゃないよ！　なんていうのかな……マツリちゃんの気持ちがよく伝わってくるんだ。みんなを守ろう！　って思ってるでしょ？
vo_adv_7023001_027.m4a|仲間のためだからこそ、一生懸命になれるんだよね。それはあたしも同じだよ。
vo_adv_7023001_028.m4a|そんなわけで、マツリちゃんにはすっごく合わせやすいんだ。あたしたち、いいコンビなんじゃないかな？
vo_adv_7023001_030.m4a|どうしたの？マツリちゃん。
vo_adv_7023001_032.m4a|えええ？　あたしが、ヒーロー？
vo_adv_7023001_033.m4a|え、ええ～？そんなこと急に言われても困っちゃうなあ……
vo_adv_7023001_034.m4a|そ、そう言われちゃうと断りづらいけど、あたしには無理だよ～……
vo_adv_7023001_037.m4a|あははは……なんだか大変なことになっちゃった……
vo_adv_7023002_001.m4a|ダメっていうか……あたしにはやっぱり無理じゃないかなーって。
vo_adv_7023002_003.m4a|うーん、ヒーローであるマツリちゃんを助ける役、ってのはダメかな？
vo_adv_7023002_005.m4a|えーと、なんだっけ……サイド……パンチ？
vo_adv_7023002_007.m4a|あはは、ごめんごめん。そのサイドキックっていうのはヒーローのお手伝いをするんだよね？それじゃあダメかな？
vo_adv_7023002_009.m4a|うんうん、もっちろん！いっぱいお手伝いしちゃうよ！
vo_adv_7023002_011.m4a|えへへ、改めてよろしくね、マツリちゃん！
vo_adv_7023002_013.m4a|とにかく、今は騎士くんの記憶を取り戻すお手伝いをするのが先決だよ。がんばってお手伝いするからはりきっていこー！
vo_adv_7023002_015.m4a|また魔物だ！サポートはあたしがしっかりするから、いくよ、マツリちゃん！
vo_adv_7023002_017.m4a|やったね！　その調子！
vo_adv_7023002_019.m4a|まだまだいるよ！マツリちゃん！
vo_adv_7023002_021.m4a|やっちゃえ、マツリちゃん！
vo_adv_7023002_022.m4a|大丈夫！　あたしがついてるもん！そこだよ、マツリちゃん！
vo_adv_7023002_024.m4a|マツリちゃん、お疲れさま。
vo_adv_7023002_027.m4a|マツリちゃんも絶好調だね。よーし、まだまだサポート頑張っちゃうから、よろしくね！
vo_adv_7023003_000.m4a|きたよ！　マツリちゃん！
vo_adv_7023003_003.m4a|かっこいいね。それって決めポーズ？
vo_adv_7023003_005.m4a|マツリちゃんは、どんなヒーローになりたいの？
vo_adv_7023003_007.m4a|そうなんだ。その夢、あたしも応援するからね！
vo_adv_7023003_009.m4a|人の夢を笑ったりなんかしないよ。
vo_adv_7023003_011.m4a|あはは、そうかな？
vo_adv_7023003_013.m4a|あたしの夢？　えっとね……あたしは、自分でなんでもやるよりも誰かの応援やお手伝いがしたいんだ。
vo_adv_7023003_015.m4a|素敵、なのかなあ。ただやりたいことをやってるだけなんだけどね。
vo_adv_7023003_017.m4a|ルナの塔だって、騎士くんの記憶を取り戻すお手伝いがしたくて連れてきてもらったんだ。
vo_adv_7023003_018.m4a|マツリちゃんも騎士くんを助けるために来たんだよね？
vo_adv_7023003_020.m4a|うんうん！　あたしは騎士くんのお手伝いをしながらマツリちゃんを応援するよ！そうすれば同時に二人をお手伝いできるんだもんね！
vo_adv_7023003_022.m4a|えー？　そうかな？あたしとしてはマツリちゃんにはすごく親近感を感じてるんだけど。
vo_adv_7023003_024.m4a|あっ！　確かにそれもあるかも！って、あたしはトラじゃなくてトラ猫の獣人なんだけどね。
vo_adv_7023003_026.m4a|え？　もしかして獣人ってこと隠してたの？ご、ごめんね！
vo_adv_7023003_028.m4a|正体を隠してるのって……もしかしてヒーローっぽいから？
vo_adv_7023003_030.m4a|ふふっ、マツリちゃんって本当にヒーローが大好きなんだね。
vo_adv_7023003_032.m4a|うん！　あたしもマツリちゃんのこと本気で応援してるから！一緒に夢に向かって頑張ろうね！
vo_adv_7023003_033.m4a|それにね、あたし思ったんだけど誰かのためになにかしてあげたいっていう気持ちはマツリちゃんも同じなんじゃないかな？
vo_adv_7023003_035.m4a|べ、勉強に？そんなふうに言われると照れちゃうなあ……あたしはあくまでサイドキックだから、ね？
vo_adv_7023004_002.m4a|大丈夫だよマツリちゃん！もう一度……
vo_adv_7023004_004.m4a|落ち着いてマツリちゃん！一体ずつ倒していこう！
vo_adv_7023004_006.m4a|マツリちゃん、ナイス！
vo_adv_7023004_009.m4a|心配になってるのは周りがよく見えているからこそだと思うな。マツリちゃんとあたしたちなら大丈夫だよ！このまま進んでいこう！
vo_adv_7023004_012.m4a|マツリちゃんは不安になって実力が出せていないだけで本当はもっと動けるはずだよ。リラックスさえすればあたしは大丈夫だと思うけどなあ。
vo_adv_7023004_015.m4a|弱気になっちゃダメだよ！マツリちゃんはもう立派なヒーローなんだから！
vo_adv_7023004_017.m4a|こっちからも！？　ここはあたしが引き受けるよ！マツリちゃん、心配しないで！
vo_adv_7023004_019.m4a|落ち着いてよく狙って！あれくらいの魔物、マツリちゃんなら絶対勝てるよ！
vo_adv_7023004_021.m4a|フレー！　フレー！　マツリちゃん！頑張れ頑張れマツリちゃん！
vo_adv_7023004_025.m4a|マツリちゃん！　いっけー！
vo_adv_7023004_028.m4a|ふう……こっちもやっつけたよ！やったね、マツリちゃん！
vo_adv_7023004_030.m4a|えへへ、そう言ってもらえるとうれしいな。
vo_adv_7023004_032.m4a|マツリちゃんもヒーローらしくてかっこよかったよ！
vo_adv_7023004_035.m4a|マツリちゃん？　どうかした？
vo_adv_7023004_037.m4a|おー！
vo_adv_7023005_000.m4a|ここには魔物はいないみたいだね。結構登ってきたと思うんだけど……
vo_adv_7023005_002.m4a|もしかして、あれが……
vo_adv_7023005_004.m4a|やったぁ！　ふぅ……無事にここまで来れたね。あたしたちだけだったら無理だったかも。マツリちゃんのおかげだよ。
vo_adv_7023005_006.m4a|マツリちゃん！？
vo_adv_7023005_059.m4a|んっ……はああ……ふう……なんだか寝ちゃってたみたいだね。みんな大丈夫？
vo_adv_7023005_061.m4a|どうしたの？　マツリちゃん。
vo_adv_7023005_063.m4a|うんうん、あたしは今のままでいいよ。
vo_adv_7023005_065.m4a|ええ？　あたし、すでにヒーローだったんだ！？
vo_adv_7023005_067.m4a|え、えええええ！？　し、師匠～！？師匠って……そんなこと言われても困っちゃうよ～あたし自身がまだまだ未熟者なのに。
vo_adv_7023005_069.m4a|うーん、師匠は無理だけど……お友達じゃダメかな？それで、今度は一緒に困ってる人たちを助けに行こうよ。困った時はお互いさまさま、って。
vo_adv_7023005_071.m4a|あたしはみんなのお手伝いとして。マツリちゃんはヒーローの修行として。お休みの時なんかに、一緒に頑張るのはどうかな？
vo_adv_7023005_073.m4a|うんうん！　それじゃあ、今度のお休みにみんなで街にくりだそう！　おー！
vo_adv_9003503_002.m4a|マサキさんは下がってて！まだ病み上がりなんだもん、これ以上は……！
vo_adv_9003507_001.m4a|勝負アリだよ、カリザくんっ！
vo_adv_9003507_014.m4a|キャルちゃん！今は、他のみんなを助けに行かないと！
vo_adv_9003511_001.m4a|勝負アリだよ、カリザくんっ！
vo_adv_9003511_014.m4a|キャ、キャルちゃん！他のみんなも、なんとかなったみたいだよっ？
vo_adv_9003511_016.m4a|うん！
vo_adv_9003514_004.m4a|こっちのほうは、どうにかなったよ！
vo_adv_9004013_000.m4a|騎士くん、こんにちはっ！今日はギルド管理協会の用事で来たんだよねっ。
vo_adv_9004013_001.m4a|えっへへー♪　先にカリンさんから話を聞いてたんだ。今度騎士くんが来るから、活動記録と一緒に──
vo_adv_9004013_003.m4a|あっ！　そっか！　えーっと、えーっと……
vo_adv_9004013_005.m4a|あっ、レイさん！　ナイスタイミングっ！
vo_adv_9004013_006.m4a|はい、騎士くんっ。この封筒を持ってってね。……あっ！　な、中身は見ちゃダメだよ！　絶対だからねっ？
vo_adv_9004013_012.m4a|うんっ。あたし、もっと強くなって騎士くんを……ユイちゃんもレイさんも、世界中みんなのことを守りたい！これからももっともーっと頑張っていこうね、騎士くん♪
vo_adv_9004013_015.m4a|わー、ほんとだ！　すっごくいい匂いがする！
vo_adv_9004013_017.m4a|やったぁ！　ありがとう、ユイちゃん！ねぇねぇ、騎士くんも一緒にお茶しようよ。
vo_adv_9004017_009.m4a|実はね、騎士くんが訪問した先のみんなに協力してもらって、お気に入りの写真を入れてもらってたんだ！
vo_adv_9005002_005.m4a|ひどいよレイさーん！あたしそんなに人にぶつかったりしてないよーっ！
vo_adv_9005002_009.m4a|う～ん、あたしだったら、何を贈るかなー？騎士くんならきっとなんでも喜んでくれるから、あたしも一緒に楽しめるものにすると思う！
vo_adv_9005002_020.m4a|シェフィちゃん、頑張ってねー！
